# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection bul_news_2020_1M.tar.gz (bul_news_2020_1M/bul_news_2020_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
да	се	75363000
не	е	30769000
трябва	да	28060000
може	да	27135000
и	да	26902000
за	да	24584000
ще	се	19354000
да	не	18697000
не	се	17898000
това	е	16795000
няма	да	16501000
и	на	16407000
да	си	16049000
да	е	12916000
не	са	12785000
да	бъде	12464000
могат	да	11550000
и	за	11151000
в	българия	10686000
част	от	9698000
е	че	9620000
е	да	9617000
да	го	9380000
ще	бъде	9238000
че	е	9041000
и	не	8922000
след	като	8919000
е	на	8732000
да	има	8277000
да	бъдат	8168000
се	е	7992000
както	и	7628000
и	се	7538000
на	и	7538000
които	са	7494000
през	г	7211000
и	от	7199000
в	момента	7145000
и	ще	7113000
да	ги	6967000
време	на	6966000
че	не	6944000
не	може	6825000
края	на	6707000
за	това	6496000
от	тях	6485000
ще	бъдат	6418000
ще	е	6399000
по	време	6255000
за	на	6217000
да	са	6188000
а	не	6028000
е	по	5932000
е	от	5603000
как	да	5583000
и	по	5562000
са	били	5471000
повече	от	5460000
началото	на	5297000
се	на	5179000
се	с	5166000
че	ще	5149000
че	в	5062000
са	в	5046000
един	от	5040000
се	в	4978000
е	бил	4968000
ще	има	4966000
в	страната	4956000
се	и	4879000
е	за	4860000
тъй	като	4755000
все	още	4743000
но	не	4730000
това	не	4630000
така	че	4614000
те	са	4602000
на	на	4493000
след	това	4477000
са	се	4458000
ако	не	4404000
са	на	4374000
той	е	4329000
които	се	4293000
се	от	4291000
на	в	4278000
се	че	4247000
на	всички	4228000
и	това	4166000
си	е	4144000
си	и	4140000
не	си	4122000
от	на	4101000
по	малко	4087000
е	много	4054000
че	са	4045000
у	нас	3925000
това	което	3917000
не	само	3852000
има	и	3850000
на	българия	3806000
това	че	3789000
никой	не	3766000
му	е	3751000
който	е	3745000
от	най	3669000
и	други	3595000
в	софия	3583000
и	са	3560000
себе	си	3560000
е	най	3558000
не	съм	3558000
без	да	3555000
това	са	3532000
да	им	3529000
все	пак	3520000
тази	година	3485000
си	в	3477000
че	това	3456000
което	е	3431000
да	му	3284000
се	да	3274000
на	хората	3273000
една	от	3263000
че	няма	3262000
бойко	борисов	3248000
на	г	3244000
са	и	3232000
по	късно	3213000
които	не	3207000
е	и	3182000
на	този	3178000
само	за	3172000
но	и	3156000
д	р	3138000
да	ни	3131000
няма	как	3131000
че	се	3123000
като	се	3102000
може	би	3077000
по	думите	3049000
и	в	3012000
тези	които	3007000
така	и	3002000
това	се	2995000
не	могат	2987000
са	от	2979000
в	този	2961000
по	добре	2938000
това	ще	2938000
да	стане	2926000
не	го	2906000
на	ес	2896000
ще	си	2891000
е	била	2875000
от	това	2868000
на	това	2864000
за	и	2860000
се	случи	2854000
в	тази	2853000
в	началото	2850000
в	европа	2839000
на	от	2829000
в	сащ	2812000
да	я	2786000
си	за	2785000
и	че	2777000
много	по	2773000
заяви	че	2745000
се	за	2737000
разбира	се	2736000
от	и	2727000
да	ви	2722000
освен	това	2722000
ли	е	2704000
в	края	2702000
млн	лв	2702000
им	е	2700000
не	знам	2675000
ще	са	2674000
са	по	2667000
в	който	2662000
който	се	2655000
на	тези	2598000
че	има	2594000
още	не	2588000
иска	да	2577000
т	н	2562000
вече	е	2560000
че	на	2549000
миналата	година	2532000
преди	да	2526000
между	и	2514000
мога	да	2511000
с	и	2501000
това	да	2497000
от	г	2483000
а	за	2472000
на	страната	2468000
са	с	2467000
тя	е	2466000
на	за	2448000
още	по	2446000
от	които	2428000
можем	да	2427000
по	рано	2397000
до	края	2390000
заедно	с	2381000
и	т	2379000
че	и	2376000
може	и	2375000
с	на	2374000
е	било	2366000
никога	не	2366000
която	е	2361000
ще	го	2359000
с	това	2353000
каза	че	2351000
нищо	не	2344000
хора	които	2342000
от	години	2341000
и	то	2338000
на	сащ	2338000
искат	да	2332000
е	в	2325000
е	ясно	2323000
на	тази	2321000
ако	се	2320000
министерството	на	2309000
а	на	2308000
по	този	2307000
им	се	2302000
от	до	2300000
какво	да	2291000
ми	е	2290000
броят	на	2286000
които	да	2282000
т	е	2282000
си	на	2278000
през	последните	2276000
на	герб	2268000
му	се	2265000
за	всички	2259000
се	случва	2250000
на	е	2242000
да	и	2241000
в	която	2240000
което	се	2239000
мисля	че	2233000
трябваше	да	2229000
е	само	2228000
на	по	2220000
и	те	2214000
в	на	2208000
дори	и	2204000
в	които	2203000
въпреки	че	2194000
и	след	2193000
които	ще	2189000
страна	на	2170000
се	прави	2153000
рамките	на	2143000
за	тях	2139000
ли	да	2139000
в	рамките	2131000
ясно	че	2129000
в	света	2119000
ми	се	2114000
и	си	2110000
в	ес	2102000
не	ги	2098000
и	като	2095000
но	това	2087000
и	няма	2077000
е	имало	2075000
българия	и	2073000
как	се	2071000
свързани	с	2059000
и	и	2054000
да	може	2033000
думите	му	2029000
са	за	2029000
ще	трябва	2028000
и	без	2025000
на	които	2022000
от	него	2022000
в	това	2013000
и	сега	2012000
от	тези	1989000
не	трябва	1987000
се	очаква	1979000
щеше	да	1976000
с	които	1969000
какво	е	1968000
която	се	1963000
за	българия	1962000
разпространението	на	1957000
закона	за	1956000
че	от	1952000
за	по	1946000
как	ще	1945000
и	до	1932000
по	отношение	1929000
и	най	1925000
вече	са	1922000
обяви	че	1919000
и	още	1918000
се	казва	1913000
че	за	1911000
според	него	1900000
да	ти	1896000
че	да	1896000
трябвало	да	1893000
като	в	1890000
с	по	1889000
отношение	на	1886000
си	го	1886000
какво	ще	1885000
връзка	с	1882000
в	германия	1879000
по	скоро	1878000
е	като	1875000
само	на	1873000
едва	ли	1867000
по	света	1865000
от	страна	1831000
става	дума	1831000
най	много	1828000
или	да	1808000
на	закона	1803000
в	и	1801000
не	им	1792000
само	в	1790000
ще	ги	1785000
в	пловдив	1784000
и	при	1784000
от	началото	1780000
директор	на	1778000
българия	е	1777000
във	варна	1777000
само	да	1770000
ще	стане	1770000
е	с	1768000
и	аз	1766000
го	е	1765000
аз	съм	1762000
и	как	1761000
на	един	1758000
за	съжаление	1756000
също	така	1756000
за	които	1751000
нужда	от	1748000
означава	че	1746000
съобщиха	от	1746000
за	него	1741000
до	момента	1740000
и	той	1735000
с	коронавирус	1735000
е	така	1724000
някои	от	1723000
но	в	1722000
на	години	1719000
който	да	1715000
извънредното	положение	1714000
председателят	на	1713000
не	му	1708000
към	момента	1707000
си	от	1701000
като	на	1698000
дума	за	1695000
министърът	на	1695000
са	много	1695000
на	годината	1676000
територията	на	1676000
последните	години	1671000
в	града	1669000
и	много	1668000
и	ако	1658000
мерки	за	1658000
на	територията	1656000
защо	не	1655000
на	бсп	1654000
не	и	1654000
не	ми	1654000
на	правителството	1652000
и	така	1650000
на	работа	1639000
не	беше	1637000
тях	са	1637000
все	по	1636000
името	на	1636000
на	пандемията	1636000
със	сигурност	1630000
че	ако	1627000
на	държавата	1623000
председател	на	1619000
си	с	1618000
на	място	1617000
много	хора	1613000
на	всеки	1613000
те	ще	1612000
преди	години	1609000
на	здравеопазването	1608000
каза	още	1604000
т	нар	1602000
да	на	1601000
а	от	1595000
от	всички	1594000
ще	ви	1591000
те	не	1590000
всеки	ден	1589000
на	се	1589000
си	да	1583000
на	борисов	1576000
можеш	да	1570000
какво	се	1569000
продължава	да	1565000
от	коронавирус	1563000
не	сме	1556000
за	какво	1545000
са	си	1545000
този	начин	1539000
и	какво	1530000
ни	е	1530000
едно	от	1528000
на	с	1528000
хората	които	1523000
да	работят	1522000
във	връзка	1521000
за	мен	1519000
от	в	1516000
на	най	1512000
е	един	1508000
на	да	1508000
през	година	1507000
в	него	1504000
не	да	1504000
става	въпрос	1504000
от	герб	1502000
случаи	на	1502000
същото	време	1502000
на	ден	1499000
се	по	1498000
с	тях	1488000
с	него	1487000
или	не	1485000
има	ли	1476000
да	имат	1473000
не	мога	1473000
възможност	да	1461000
вече	не	1460000
и	с	1460000
не	на	1460000
в	болница	1459000
на	сто	1452000
г	н	1448000
искам	да	1444000
че	той	1442000
не	би	1440000
голяма	част	1439000
в	района	1438000
кой	е	1438000
само	че	1435000
в	сравнение	1432000
е	възможно	1430000
вместо	да	1429000
всичко	е	1428000
въпрос	за	1427000
а	и	1426000
и	всички	1425000
липсата	на	1425000
на	практика	1425000
в	същото	1422000
на	който	1419000
най	вече	1417000
на	президента	1416000
с	цел	1413000
той	се	1407000
много	от	1406000
на	една	1406000
на	хора	1405000
се	проведе	1405000
той	не	1398000
всичко	това	1397000
от	ес	1395000
има	много	1394000
не	става	1393000
който	не	1392000
ние	сме	1390000
право	да	1384000
главния	прокурор	1370000
се	вижда	1370000
в	последните	1368000
за	първи	1367000
да	направи	1366000
брой	на	1364000
стана	ясно	1360000
размер	на	1359000
се	правят	1359000
дали	ще	1357000
само	с	1357000
когато	се	1356000
благодарение	на	1354000
и	го	1351000
на	мвр	1348000
разлика	от	1346000
на	март	1340000
представители	на	1334000
на	власт	1333000
цената	на	1331000
хората	да	1328000
че	те	1325000
е	толкова	1324000
от	тази	1324000
член	на	1324000
във	фейсбук	1323000
още	в	1321000
аз	не	1318000
да	те	1318000
с	което	1317000
доведе	до	1316000
като	не	1315000
още	от	1315000
е	това	1311000
малко	от	1309000
в	един	1307000
в	случая	1307000
но	е	1305000
под	карантина	1305000
за	разлика	1303000
но	за	1299000
пандемията	от	1298000
казва	че	1295000
първи	път	1295000
на	вируса	1292000
информация	за	1289000
преди	това	1284000
промени	в	1283000
за	г	1281000
ли	ще	1281000
ти	е	1281000
а	това	1278000
в	сила	1278000
би	трябвало	1273000
служители	на	1272000
в	най	1270000
за	в	1270000
ще	ни	1270000
ли	си	1269000
място	в	1265000
която	да	1264000
с	тези	1262000
министър	на	1258000
че	трябва	1258000
защото	не	1256000
че	по	1255000
сравнение	с	1254000
така	е	1254000
години	и	1253000
в	една	1251000
в	което	1250000
само	от	1249000
думите	на	1247000
по	повод	1247000
са	най	1246000
и	затова	1243000
броя	на	1242000
да	могат	1242000
народното	събрание	1242000
и	през	1241000
твърди	че	1239000
г	в	1238000
да	няма	1238000
ще	могат	1238000
за	тези	1234000
на	много	1234000
в	китай	1233000
да	ми	1233000
да	в	1231000
най	вероятно	1230000
е	една	1226000
който	ще	1221000
по	голяма	1218000
обаче	не	1216000
според	мен	1213000
ако	е	1211000
ще	продължи	1208000
ли	се	1207000
и	само	1206000
нещо	което	1206000
европейската	комисия	1205000
е	добре	1202000
на	града	1202000
на	заразените	1202000
на	септември	1202000
времето	на	1201000
по	и	1199000
данни	на	1197000
то	е	1197000
средата	на	1196000
да	сме	1195000
на	община	1194000
с	най	1194000
кой	да	1189000
сега	е	1189000
можете	да	1188000
подкрепа	на	1188000
ви	е	1187000
пак	ще	1187000
като	е	1182000
в	парламента	1181000
като	и	1181000
на	тръмп	1181000
се	оказа	1181000
си	че	1180000
те	се	1179000
г	и	1177000
и	дори	1173000
за	което	1172000
на	пазара	1172000
в	областта	1170000
добре	да	1170000
малко	по	1170000
в	русия	1167000
са	го	1165000
се	налага	1163000
изобщо	не	1162000
ще	им	1160000
достъп	до	1159000
пари	за	1157000
също	е	1157000
продължават	да	1156000
ръководството	на	1156000
защита	на	1153000
най	големите	1152000
се	като	1151000
борисов	и	1149000
в	размер	1148000
не	за	1148000
на	българската	1146000
този	път	1145000
управление	на	1145000
ти	си	1143000
до	г	1141000
на	май	1139000
на	прокуратурата	1139000
се	намира	1138000
въпреки	това	1137000
по	темата	1135000
влезе	в	1132000
кметът	на	1130000
на	икономиката	1129000
на	националния	1129000
все	едно	1124000
европейския	съюз	1124000
от	нас	1124000
че	си	1124000
на	която	1122000
че	с	1122000
борба	с	1121000
на	премиера	1121000
някой	да	1121000
а	след	1120000
на	юни	1120000
като	за	1117000
все	повече	1116000
какви	са	1116000
румен	радев	1116000
обясни	че	1115000
колкото	и	1114000
в	чужбина	1113000
да	видим	1112000
от	този	1110000
в	италия	1109000
и	към	1109000
миналата	седмица	1109000
на	коронавирус	1107000
това	заяви	1107000
в	понеделник	1105000
или	на	1105000
на	софия	1103000
посочи	че	1102000
кой	ще	1100000
в	резултат	1097000
е	част	1096000
се	отнася	1094000
още	повече	1093000
пъти	по	1090000
е	важно	1085000
а	сега	1084000
което	ще	1084000
той	ще	1084000
е	не	1080000
развитието	на	1080000
вече	се	1073000
данни	за	1073000
млн	лева	1072000
на	децата	1072000
като	цяло	1070000
в	петък	1068000
с	в	1065000
на	януари	1064000
а	да	1063000
ли	не	1063000
в	крайна	1061000
право	на	1061000
се	наложи	1061000
че	може	1061000
и	му	1060000
не	ни	1059000
няколко	дни	1058000
говори	за	1057000
каква	е	1057000
северна	македония	1057000
не	ви	1056000
два	пъти	1055000
в	закона	1054000
време	е	1054000
да	работи	1054000
това	и	1054000
липса	на	1053000
министъра	на	1048000
вероятно	ще	1047000
условията	на	1047000
в	по	1045000
на	фона	1044000
по	голям	1044000
които	имат	1040000
те	да	1040000
начин	да	1039000
не	говорим	1039000
от	по	1039000
крайна	сметка	1038000
фона	на	1038000
хора	с	1038000
говорим	за	1037000
при	това	1037000
това	време	1037000
доналд	тръмп	1035000
решение	на	1035000
нито	един	1034000
става	ясно	1034000
ги	е	1031000
това	на	1031000
за	тази	1030000
и	после	1026000
работата	на	1024000
иван	гешев	1023000
няма	и	1023000
г	е	1021000
която	ще	1021000
за	борба	1020000
васил	божков	1019000
случая	на	1019000
в	центъра	1018000
не	сте	1018000
сметка	на	1016000
е	необходимо	1015000
развитие	на	1014000
няма	нищо	1012000
от	друга	1012000
цитиран	от	1012000
на	юли	1011000
да	каже	1009000
възможност	за	1007000
каквото	и	1007000
това	означава	1007000
и	трябва	1004000
за	от	1003000
на	българския	1003000
тези	хора	1003000
две	седмици	1002000
които	е	1002000
околната	среда	1001000
успя	да	1001000
смята	че	1000000
решението	на	999000
с	много	999000
новия	коронавирус	998000
социалните	мрежи	998000
на	едно	997000
са	само	997000
се	направи	996000
живота	си	995000
не	че	995000
на	което	994000
за	най	993000
от	от	993000
двете	страни	992000
да	започне	990000
което	не	989000
да	направят	988000
сега	ще	987000
хора	в	987000
време	за	986000
за	един	986000
на	други	985000
част	на	985000
сащ	и	984000
това	в	984000
във	всички	981000
за	всеки	981000
защото	е	981000
показва	че	981000
района	на	981000
макар	и	980000
на	са	980000
дори	да	979000
е	доста	979000
сега	се	978000
христо	иванов	978000
от	нея	976000
време	да	975000
още	че	973000
и	ги	971000
на	първо	970000
хора	и	970000
на	европейския	968000
намаляване	на	968000
по	на	967000
надявам	се	966000
в	историята	965000
директорът	на	965000
за	нас	965000
и	един	965000
с	която	965000
този	момент	965000
ще	му	965000
лв	за	961000
но	се	961000
си	по	961000
герб	и	960000
резултат	на	959000
у	дома	959000
да	ме	958000
ли	са	958000
дали	е	957000
от	една	955000
в	нея	954000
ес	и	954000
и	има	954000
от	часа	954000
ако	има	953000
му	в	952000
и	защо	951000
продължение	на	951000
две	години	948000
се	към	947000
на	епидемията	945000
центъра	на	945000
да	прави	944000
е	до	944000
на	извънредното	943000
няколко	години	943000
от	населението	942000
на	а	941000
в	неделя	940000
нямаше	да	938000
се	говори	938000
съобщи	че	938000
на	света	936000
а	по	934000
винаги	е	933000
така	се	933000
в	сряда	931000
резултатите	от	930000
на	главния	929000
след	което	929000
ден	на	928000
на	заразата	928000
от	бсп	928000
в	часа	926000
за	коронавирус	925000
ли	че	925000
в	гърция	923000
отговор	на	922000
се	знае	922000
опитва	да	919000
дори	не	918000
най	малко	918000
цялата	страна	918000
в	тези	917000
общият	брой	917000
следва	да	915000
да	за	913000
на	август	913000
на	русия	913000
си	ги	913000
коронавирус	в	910000
на	няколко	910000
участие	в	910000
къде	е	909000
по	който	908000
се	появи	908000
на	мястото	907000
очаква	се	907000
за	сметка	905000
от	хората	905000
на	април	904000
очаква	да	904000
важното	е	903000
обаче	е	903000
и	ти	902000
много	добре	902000
на	ще	901000
на	партията	900000
близо	до	899000
да	продължи	898000
в	събота	897000
добави	че	897000
и	може	896000
и	ние	896000
живота	на	894000
това	беше	894000
в	бургас	893000
да	с	893000
може	ли	893000
се	опитва	893000
заразени	с	892000
от	днес	892000
включително	и	890000
затова	и	890000
да	правят	889000
на	не	889000
велико	търново	888000
с	който	887000
това	за	887000
това	може	887000
ню	йорк	885000
страната	ни	885000
главният	прокурор	884000
на	декември	884000
така	ще	883000
не	по	882000
се	окаже	882000
факта	че	882000
момента	в	881000
зависи	от	880000
и	е	880000
има	в	880000
историята	на	877000
на	гражданите	876000
с	други	876000
управлението	на	876000
членове	на	874000
на	мерките	873000
от	българия	872000
още	един	872000
с	от	872000
се	използва	871000
за	този	870000
и	тези	869000
не	ти	869000
тях	е	868000
българия	в	867000
казват	че	867000
е	под	865000
не	можем	865000
цел	да	865000
най	голямата	864000
няколко	месеца	864000
и	кой	863000
кога	ще	863000
по	принцип	862000
целта	е	862000
а	в	861000
че	при	861000
че	всички	860000
на	българските	859000
на	си	859000
опитват	да	858000
да	остане	857000
на	година	857000
хора	от	857000
или	в	856000
създаването	на	856000
година	и	855000
на	властта	855000
до	часа	854000
изграждането	на	854000
в	тях	852000
и	вече	852000
и	им	852000
на	компанията	852000
и	тя	851000
си	се	851000
с	този	850000
от	за	849000
в	перник	848000
в	турция	847000
да	спре	847000
се	опитват	847000
спазване	на	847000
ще	може	846000
докато	не	845000
на	живот	844000
на	полицията	844000
ще	имат	842000
в	с	841000
в	социалните	841000
какъв	е	841000
но	ако	841000
извънредно	положение	840000
цените	на	838000
нищо	общо	836000
щяха	да	836000
премиерът	бойко	834000
ти	се	834000
кои	са	833000
във	франция	832000
на	някои	832000
и	тогава	831000
на	нови	831000
е	но	829000
и	все	829000
и	там	829000
с	тази	829000
борбата	с	827000
като	са	827000
общо	с	826000
по	един	826000
правителството	на	826000
на	ноември	825000
толкова	много	825000
че	след	825000
в	условията	824000
това	няма	824000
и	др	823000
най	добре	823000
средства	за	823000
за	хората	822000
казва	в	822000
преди	няколко	822000
се	до	822000
смятат	че	821000
като	от	820000
можеше	да	820000
той	да	820000
за	пореден	819000
областта	на	819000
места	в	818000
последното	денонощие	818000
води	до	817000
и	половина	817000
с	си	817000
и	всичко	816000
на	първа	816000
колко	е	815000
на	български	815000
продължи	да	815000
ако	си	814000
не	бяха	814000
пореден	път	814000
проверка	на	814000
го	и	813000
години	на	813000
съвет	на	813000
за	защита	812000
само	и	811000
с	над	810000
в	продължение	809000
не	виждам	809000
му	и	808000
сградата	на	808000
за	последните	807000
на	европейската	806000
в	четвъртък	805000
гледна	точка	805000
няколко	пъти	805000
за	развитие	804000
и	също	804000
на	европа	804000
два	месеца	803000
над	млн	803000
от	там	803000
тя	се	803000
и	колко	801000
ако	някой	800000
всички	са	799000
макар	че	799000
не	искат	799000
по	данни	799000
през	март	799000
хората	с	799000
на	общината	798000
стигне	до	798000
както	се	797000
мястото	на	797000
тази	сутрин	796000
на	комисията	795000
такива	като	794000
всички	които	793000
