# Generated supplemental for the German keyboard pack.
# Source: ß-fold restoration. The base words.tsv was imported from a Swiss
# German corpus (Switzerland abolished ß in 2006) and contains only ss-forms
# for words that take ß in modern standard German (DE-DE, AT-AT).
# Frequencies below are derived from the ss-form counts in words.tsv,
# discounted ~5% to acknowledge ambiguity (some ss-forms map to plain ss too).
# Entries follow the 1996/2006 spelling reform — pre-reform forms (beschluß,
# genuß, gewiß, daß, muß) are deliberately NOT included.
# Locale: de-DE
# Format: word<TAB>frequency

# Straße + compounds
straße	8000
straßen	2300
straßenbahn	1500
hauptstraße	1500
hauptstraßen	500
nebenstraße	300

# groß family (incl. comparative and superlative)
groß	6800
große	15000
großen	15000
großes	3300
großer	5200
größer	5200
größere	2500
größeren	2200
größte	5200
größten	4500
großartig	1500
großartige	1200
großartigen	900
großeltern	500
großmutter	600
großvater	600

# weiß = white / knows (both fold to weiss in CH corpus)
weiß	23000
weiße	2000
weißen	2400
weißer	600
weißt	2900

# Fuß family
fuß	2700
füße	1500
fußball	4300
fußboden	600
fußgänger	500

# Spaß
spaß	7000

# heißen — to be called / to mean
heißen	2800
heißt	12800
heiße	1700
heißer	360

# schließen — to close (+ schließlich)
schließen	2300
schließt	4000
schließe	1500
schloss	2900
schließlich	7200

# außen / außer / außerhalb / außerdem
draußen	2800
außen	2300
außer	6000
außerdem	10200
außerhalb	2900

# Modal subjunctive
müsste	2000

# Misc
gießen	600
gießt	200
maß	1300
stoß	150
beißt	200
beißen	230
ließ	5100
ließen	1400
genießen	1700
genießt	560

# süß family (s,ü,ß three-way diacritic test surface)
süß	1500
süße	1200
süßen	500
süßes	300
süßer	300
süßigkeiten	400

# Phone-vocabulary boost (merge-max): words present in words.tsv at very low
# counts because the Leipzig 2011 corpus is formal-text-skewed. These forms are
# extremely common in real phone typing.
prüfe	8000
prüft	6000
prüfen	6000
prüfst	3000
prüfst	3000
geprüft	4000
behalte	6000
behält	4000
behaltet	2000
behalten	4000
abfahrt	4000
ankunft	3000
verspätung	5000
verspätungen	2000
ticket	5000
tickets	2500
notiz	5000
notizen	3000
erinnerung	4000
erinnerungen	2000
hausaufgabe	2500
hausaufgaben	2000
vorlesung	2500
vorlesungen	1500
besprechung	2500
besprechungen	1500
einkäufe	3000
mittagessen	3000
abendessen	3500
podcast	2500
playlist	2500
kalender	3000
rechnung	4000
rechnungen	2000
miete	3000
versicherung	3500
budget	3500
zahlung	3000
zahlungen	1500
lieferung	3000
lieferungen	1500
quittung	2500
medikament	3000
medikamente	2000
apotheke	3500
reparatur	2500
reparaturen	1500
kartons	2000
schlüssel	3500
flughafen	4000
bahnhof	4500
strecke	3500
sorry	5000
sry	500

# Iter E targets — boost above mid-frequency competitor false friends
# (bevor=6918, bald=9120, zukunft=7244, vater=7244)
behalte	12000
behält	8000
behalten	10000
ticket	10000
tickets	5000
notiz	10000
notizen	5000
budget	8000
für	200000
fürs	8000
bus	8000
gleich	30000
wer	30000
zur	30000
zum	30000

# Iter K: boost targets that lost to shape-similar false friends on 1000w
serie	30000
serien	8000
medikament	15000
medikamente	8000
kalender	15000
kalenderwoche	3000
ankommst	8000
ankommen	8000
bestätigt	15000
bestätigen	8000
hausaufgabe	8000
hausaufgaben	5000
prüfung	15000
prüfungen	5000
podcast	8000
podcasts	3000
playlist	8000
einkäufe	8000
einkaufen	12000
laden	30000
ladens	3000
mussten	500
preise	500
seite	30000
seiten	8000

# Iter L: boost ß forms above their ss counterparts and add nuanced false friends
fuß	5000
fuss	1000
weiß	30000
weiss	8000
groß	15000
gross	5000
großen	18000
grossen	5000
müsse	3000
müssten	3000
schließe	2500
schließlich	8000

# Boost lesser-used context-specific targets so they win over generic function words
zwölf	5000
ankommen	8000
anrufen	8000
notfall	5000
sommer	2500
winter	2500

# Device long-form work/school targets
abschließen	5000
wochenbericht	4000
souvenir	2500
prüf	5000
fährt	8000
unterricht	6000

# Device glide residuals: ordinary phone-domain words that were losing to
# shape-neighbour nouns or English forms on the Pixel replay.
abholbereit	8000
doktor	6000
klempner	6000
stromrechnung	6000
stoff	6000
vorbereiten	8000
arbeitet	8000
ändert	6000
