# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection deu_mixed-typical_2011_1M.tar.gz (deu_mixed-typical_2011_1M/deu_mixed-typical_2011_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
auf jeden	fall	8000000
ich bin	mir	8000000
ich weiß	nicht	8000000
vielen dank	für	7000000
es tut	mir	6000000
zum beispiel	kann	5000000
um prozent	auf	3045000
ich bin	müde	2600000
ich habe	zeit	2600000
im moment	nicht	2600000
zu hause	bin	2600000
prozent auf	euro	1295000
prozent auf	punkte	959000
das ist	ein	884000
die zahl	der	871000
das ist	eine	784000
in der	regel	693000
es ist	ein	615000
prozent auf	zähler	606000
das ist	die	559000
gibt es	eine	559000
prozent auf	dollar	551000
hier finden	sie	512000
gibt es	auch	510000
finden sie	hier	494000
auf millionen	euro	489000
ist in	der	479000
es war	ein	471000
es sich	um	466000
gibt es	keine	457000
auch für	die	454000
das ist	der	451000
es geht	um	446000
in diesem	jahr	434000
gibt es	nicht	430000
geht es	um	428000
handelt es	sich	427000
auch in	der	415000
in den	nächsten	402000
sich in	der	396000
es ist	eine	385000
wird von	der	377000
es handelt	sich	375000
sich um	prozent	362000
gilt auch	für	360000
das ist	das	357000
gibt es	einen	348000
gehört zu	den	347000
gibt es	noch	347000
in den	vergangenen	345000
wir freuen	uns	343000
auf dem	programm	336000
stieg um	prozent	328000
er starb	am	327000
im vergangenen	jahr	321000
in den	letzten	321000
hier gibt	es	317000
sind in	der	313000
ist für	den	305000
wird in	der	305000
sie starb	am	303000
beginnt um	uhr	302000
in der	nähe	302000
gibt es	ein	298000
ist noch	nicht	297000
ist um	uhr	297000
das war	ein	295000
kam es	zu	292000
ist für	die	291000
prozent auf	millionen	291000
prozent auf	milliarden	289000
er ist	ein	284000
und das	ist	282000
in diesem	fall	280000
den er	jahren	277000
auf milliarden	euro	275000
es war	eine	274000
sich auf	die	274000
wurde von	der	273000
sie in	der	272000
das ist	doch	269000
hier können	sie	268000
in der	stadt	264000
liegt in	der	264000
es gibt	keine	262000
befindet sich	in	261000
gibt es	in	253000
in der	zweiten	252000
es ist	die	250000
die anzahl	der	249000
in ein	krankenhaus	249000
da gibt	es	246000
die in	der	245000
werden in	der	240000
die kosten	für	237000
das gilt	auch	229000
wird durch	die	227000
noch nicht	fest	222000
das war	eine	221000
in den	kommenden	221000
aber das	ist	219000
handelt sich	um	218000
es ist	das	215000
es ist	der	212000
in der	nacht	210000
gibt es	hier	209000
aber noch	nicht	208000
ist auch	die	208000
stiegen um	prozent	208000
er ist	der	207000
sich um	eine	207000
hat sich	die	206000
auch bei	den	204000
das ist	nicht	204000
in der	region	204000
das ist	auch	203000
die suche	nach	203000
was für	ein	203000
wurde in	der	203000
dafür gibt	es	202000
in der	ersten	202000
in den	er	201000
ein teil	der	200000
einen wert	von	200000
ich freue	mich	200000
das teilte	die	199000
finden sie	die	199000
um auf	eur	199000
finden sie	in	198000
von bis	uhr	197000
sprach von	einem	196000
klicken sie	auf	195000
es um	die	193000
das teilte	der	192000
die für	die	191000
sich in	den	191000
vor allem	die	191000
auch für	den	190000
sich um	einen	190000
von der	polizei	190000
auf dem	weg	189000
auf diese	weise	189000
für die	zukunft	189000
richtet sich	nach	189000
auch bei	der	188000
es gibt	auch	188000
wir haben	die	187000
gab es	auch	185000
von millionen	euro	185000
eine wichtige	rolle	184000
es in	der	184000
was ist	ein	182000
gibt es	nur	181000
sie auf	die	181000
auf der	homepage	180000
auf mio	euro	180000
das ist	ja	180000
den nächsten	tagen	180000
wird von	den	180000
den letzten	jahren	179000
vor einem	jahr	179000
außerdem gibt	es	178000
prozent auf	mrd	178000
in der	mitte	177000
ist auch	ein	177000
was sind	die	177000
willkommen auf	der	177000
beläuft sich	auf	176000
rund millionen	euro	176000
mehr als	im	175000
auf der	straße	174000
der in	der	174000
plus von	prozent	174000
der ist	ein	173000
die eu	kommission	173000
eine reihe	von	173000
was ist	das	172000
die in	den	171000
ist einer	der	171000
viel spaß	beim	171000
das geht	aus	170000
rund um	die	170000
sich auf	den	170000
dazu gibt	es	169000
ein plus	von	169000
es gibt	eine	169000
an der	börse	168000
das war	der	168000
der ist	die	167000
werden von	der	166000
befindet sich	ein	165000
den vergangenen	jahren	165000
wie kann	ich	165000
wie z	b	165000
wurde von	den	165000
die höhe	der	164000
dies ist	ein	164000
es war	der	164000
hier geht	es	164000
die ergebnisse	der	163000
bitte beachten	sie	162000
gibt es	die	162000
ist eine	der	162000
finden sie	auf	161000
gab es	eine	160000
im rahmen	der	160000
ist nicht	möglich	160000
in der	schule	159000
ist in	den	159000
an dieser	stelle	157000
auf punkte	zu	157000
blick auf	die	157000
sank um	prozent	157000
in der	folge	156000
sie auf	der	156000
das hat	die	155000
zählt zu	den	155000
am januar	in	154000
aber es	ist	153000
sich um	die	153000
von prozent	auf	153000
wird in	den	153000
an der	spitze	152000
in der	tat	152000
wir haben	eine	152000
aber auch	die	151000
auf euro	zu	151000
die hälfte	der	151000
wurde er	zum	151000
freuen uns	auf	150000
in dieser	zeit	150000
das ende	der	149000
das ergebnis	ist	149000
für das	laufende	149000
ist auch	eine	149000
kommt es	zu	149000
finden sie	unter	148000
im vergleich	zum	148000
das ist	aber	147000
das sind	die	147000
ist mit	einem	147000
werden von	den	147000
der dow	jones	146000
ist auch	der	146000
sie in	den	146000
die und	die	145000
prozent auf	mio	145000
auch in	den	144000
in die	höhe	144000
in jedem	fall	144000
legte um	prozent	144000
sie ist	die	144000
wird von	einem	144000
befindet sich	im	143000
es war	die	143000
fiel um	prozent	143000
in der	luft	143000
noch nicht	bekannt	143000
das ergebnis	der	142000
gehören zu	den	141000
sind auch	die	140000
ich bin	ein	139000
damit ist	die	138000
in erster	linie	138000
auf mrd	euro	137000
liegt bei	euro	137000
sich in	einem	137000
das ist	in	136000
die ist	ein	136000
eine große	rolle	136000
informationen finden	sie	135000
sich für	die	135000
die frage	nach	134000
die ist	eine	134000
prozent mehr	als	134000
sich über	die	134000
der s	p	132000
für das	gesamtjahr	132000
ging es	um	132000
im jahr	wurde	132000
ist ein	sehr	132000
wurde mit	dem	132000
gibt es	aber	131000
gibt es	für	131000
ist das	ein	131000
sich nach	der	131000
wir bieten	ihnen	131000
die höhe	des	130000
sich mit	der	130000
wurde mit	einem	130000
das ist	für	129000
die entwicklung	der	129000
dies ist	die	129000
in der	minute	129000
in der	nächsten	129000
nach angaben	der	129000
der suche	nach	128000
in die	zukunft	128000
am april	in	127000
am februar	in	127000
auf milliarden	dollar	127000
bei dem	unfall	127000
das teilte	das	127000
hier ist	die	127000
lassen sie	sich	127000
sind in	den	127000
was für	eine	127000
auf den	markt	126000
ist das	ergebnis	126000
kosten für	die	126000
sprach von	einer	126000
auf der	bühne	125000
das ist	schon	125000
die polizei	hat	125000
ist mit	dem	125000
noch in	der	125000
sich um	ein	125000
ein sprecher	des	124000
was ist	die	124000
wurde in	den	124000
aber es	gibt	123000
am ende	des	123000
das gleiche	gilt	123000
in der	hand	123000
ist die	der	123000
werden in	den	123000
befinden sich	in	122000
das war	die	122000
der ist	der	122000
in der	praxis	122000
am november	in	121000
die vorwürfe	zurück	121000
dow jones	index	121000
ein drittel	der	121000
es gibt	keinen	121000
sich auf	der	121000
sich in	einer	121000
sie ist	eine	121000
unter www	de	121000
was ist	mit	121000
wies die	vorwürfe	121000
befindet sich	eine	120000
der jährige	wurde	120000
die nachfrage	nach	120000
eine vielzahl	von	120000
gewannen prozent	auf	120000
sich auch	die	120000
sich nach	dem	120000
sie auf	den	120000
um prozent	zu	120000
auf rund	euro	119000
die liegt	bei	119000
gab es	keine	119000
gibt es	viele	119000
im kommenden	jahr	119000
in der	vergangenen	119000
ist das	nicht	119000
ist immer	noch	119000
können sie	die	119000
stammt aus	dem	119000
auf den	ersten	118000
dort gibt	es	118000
geht um	die	118000
nach der	pause	118000
vor der	tür	118000
wird mit	einem	118000
wurde durch	die	118000
am oktober	in	117000
für die	kinder	117000
herzlich willkommen	auf	117000
ist der	erste	117000
ist der	größte	117000
was halten	sie	117000
auf euro	nach	116000
das berichtet	die	116000
sich an	den	116000
sie sich	auf	116000
wir haben	uns	116000
wird mit	dem	116000
aus dem	jahrhundert	115000
bei der	polizei	115000
die werden	in	115000
die zeit	der	115000
es noch	nicht	115000
auch auf	die	114000
auf der	strecke	114000
bitte wählen	sie	114000
das habe	ich	114000
der für	die	114000
die qualität	der	114000
es wird	ein	114000
gibt es	keinen	114000
gilt für	die	114000
nur noch	die	114000
verfügt über	eine	114000
verloren prozent	auf	114000
war in	der	114000
am mai	in	113000
am nächsten	tag	113000
das ist	natürlich	113000
dazu gehört	auch	113000
der nasdaq	composite	113000
freuen uns	über	113000
ist mit	der	113000
was ist	der	113000
wurde von	einem	113000
als im	vorjahr	112000
aus diesem	grund	112000
bereits in	der	112000
er in	der	112000
gab es	einen	112000
gab es	nicht	112000
ist nicht	mehr	112000
ist nur	ein	112000
nicht in	sicht	112000
sich mit	dem	112000
die zukunft	der	111000
eine frage	der	111000
es aber	nicht	111000
es zu	einer	111000
für die	ist	111000
gegenüber dem	vorjahr	111000
haben sich	die	111000
im bereich	der	111000
wir haben	einen	111000
ein krankenhaus	gebracht	110000
für die	neue	110000
ziel ist	die	110000
der liegt	bei	109000
die für	den	109000
fielen um	prozent	109000
