# Generated by scripts/generate_supplemental_words.py
# Locale: es-ES
# Derived from bigram tokens whose scaled frequency is at least 5000.
# Frequency formula: clamp(round(sqrt(bigram_frequency) * 10.0), 2000, 6000).
# Format: word<TAB>derived_frequency

# Curated broad-life phone vocabulary floors from
# scripts/audit_android_keyboard_spanish_portuguese_usage.py.
almuerzo	2500
avísame	2000
billete	2500
cliente	3000
contraseña	3000
entrena	2000
expediente	2000
factura	3000
farmacia	3000
fontanero	2000
llámame	2000
marcador	2000
mezquita	2000
podcast	2500
preparar	3000
preparo	2000
reparación	2500
reservar	2000
respondo	2000
retraso	2500
revisa	2500
seca	1500
verificar	2500
