# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection fin_news_2020_1M.tar.gz (fin_news_2020_1M/fin_news_2020_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
siirryt toiseen	palveluun	5107000
se	on	3200000
en	tiedä	3000000
hyvää	huomenta	3000000
kiitos	paljon	3000000
hyvää	päivää	2800000
minä	luulen	2600000
apteekki	sulkee	2400000
asiakas	kysyy	2400000
en tiedä	vielä	2400000
hyvää huomenta	kiitos	2400000
juna	lähtee	2400000
kerro	kun	2400000
kokous	alkaa	2400000
nähdään	huomenna	2400000
ole	hyvä	2400000
perhe	tulee	2400000
puhelin	latautuu	2400000
sen jälkeen	kun	1567000
ei ole	vielä	1462000
terveyden ja	hyvinvoinnin	1331000
on tällä	hetkellä	1254000
on se	että	1175000
ei ole	ollut	941000
ei kuitenkaan	ole	915000
se ei	ole	889000
muun muassa	ja	853000
ja se	on	696000
on muun	muassa	657000
ei ole	mitään	656000
ja hyvinvoinnin	laitoksen	615000
ja hyvinvoinnin	laitos	611000
noin miljoonaa	euroa	585000
presidentti donald	trump	582000
sitä mieltä	että	576000
että se	on	562000
pääministeri sanna	marin	537000
hän ei	ole	527000
voit keskustella	aiheesta	504000
ei ole	kuitenkaan	500000
ei ole	enää	486000
mutta se	ei	475000
thl n	mukaan	468000
lasten ja	nuorten	467000
sosiaali ja	terveysministeriön	464000
hyvinvoinnin laitos	thl	457000
helsingin ja	uudenmaan	450000
toiseen palveluun	että	441000
että hän	on	428000
ja sen	jälkeen	425000
mutta se	on	422000
että ei	ole	407000
kahden viikon	aikana	405000
ovat muun	muassa	390000
myös se	että	388000
afp n	mukaan	387000
tarkoittaa sitä	että	386000
oli miljoonaa	euroa	376000
kaksi vuotta	sitten	355000
eu n	ja	350000
näyttää siltä	että	349000
se on	ollut	338000
sanna marin	sd	335000
uutistoimisto afp	n	328000
on hänen	mukaansa	326000
on tärkeää	että	326000
on tähän	mennessä	322000
hyvinvoinnin laitoksen	thl	319000
on mahdollista	että	308000
mukaan siirryt	toiseen	307000
myös muun	muassa	305000
hän on	ollut	301000
muutama vuosi	sitten	298000
ei vielä	ole	296000
mukaan ei	ole	295000
jotka eivät	ole	293000
sosiaali ja	terveysministeriö	293000
stt lle	että	291000
on tänä	vuonna	287000
tämä ei	ole	287000
vuoden loppuun	mennessä	287000
on viime	vuosina	282000
määrä on	kasvanut	277000
pari vuotta	sitten	277000
suurin osa	on	277000
ei voi	olla	276000
maailman terveysjärjestö	who	276000
niin paljon	että	275000
on ollut	jo	275000
ei ole	koskaan	273000
on enemmän	kuin	273000
ja sitä	kautta	271000
ei ole	mahdollista	267000
voi olla	että	265000
niin kauan	kuin	262000
suomessa on	todettu	258000
ei ole	tullut	257000
että hän	ei	254000
samalla tavalla	kuin	251000
sosiaali ja	terveydenhuollon	251000
eri puolilla	maailmaa	250000
ei ole	tiedossa	249000
eri puolilla	suomea	249000
on viime	aikoina	243000
hän muistuttaa	että	241000
jos ei	ole	239000
koronaviruksen aiheuttamaan	tautiin	239000
kuin viime	vuonna	237000
viime vuoden	aikana	237000
joilla ei	ole	236000
meillä ei	ole	236000
ja hän	on	235000
kun ei	ole	235000
kun se	on	233000
yhdysvaltain presidentti	donald	230000
hän uskoo	että	229000
samaan aikaan	kun	229000
new york	times	228000
presidentti donald	trumpin	228000
on ollut	myös	226000
on ollut	viime	226000
toiseen palveluun	mukaan	226000
aiheesta voi	keskustella	223000
ja uudenmaan	sairaanhoitopiirin	222000
ja eu	n	221000
on selvää	että	221000
kyse ei	ole	220000
kertoo terveyden	ja	218000
ei ole	toistaiseksi	217000
cnn n	mukaan	216000
että tämä	on	216000
tartuntoja on	todettu	216000
työ ja	elinkeinoministeriön	215000
se on	myös	214000
hän ei	kuitenkaan	213000
hän sanoo	että	213000
miljoonaa euroa	ja	212000
se voi	olla	210000
kymmenen vuotta	sitten	209000
noin miljoonan	euron	209000
bbc n	mukaan	208000
pari viikkoa	sitten	206000
tämän vuoden	aikana	206000
hän on	myös	205000
n tietojen	mukaan	205000
presidentti sauli	niinistö	204000
tartuntojen määrä	on	204000
mutta ei	ole	203000
oli se	että	202000
tällä hetkellä	on	202000
joka ei	ole	201000
se ei	kuitenkaan	201000
on jo	aiemmin	200000
aiemmin tällä	viikolla	199000
black lives	matter	199000
ei usko	että	199000
hänen mukaansa	on	199000
ja muun	muassa	198000
kello een	saakka	198000
että kyseessä	on	197000
on jo	nyt	197000
on sitä	mieltä	197000
se tarkoittaa	että	194000
sen sijaan	että	193000
ei ole	tietoa	192000
vielä ei	ole	192000
ei kuitenkaan	ollut	191000
kertoo että	on	191000
tiede ja	kulttuuriministeri	191000
ei enää	ole	190000
määrä on	noussut	190000
new york	timesin	190000
tavoitteena on	että	190000
sanna marinin	sd	189000
että se	ei	185000
hän kertoo	että	185000
neljä vuotta	sitten	185000
oli viime	vuonna	185000
siinä vaiheessa	kun	185000
ursula von	der	185000
hän on	tehnyt	184000
on aina	ollut	184000
voi keskustella	klo	184000
ei ole	niin	183000
ihmistä on	kuollut	183000
ja on	ollut	183000
kaksi viikkoa	sitten	183000
kun hän	oli	183000
siitä että	hän	183000
nyt hän	on	182000
pääministeri sanna	marinin	182000
se on	mahdollista	181000
eri puolilla	maata	179000
keskustella aiheesta	kello	179000
yli miljoonaa	euroa	179000
miljoonaa asukasta	kohden	178000
uutistoimisto reutersin	mukaan	178000
kuin vuosi	sitten	177000
oli prosentin	nousussa	177000
että kyse	on	176000
on ollut	ja	175000
ei siis	ole	174000
johtuu siitä	että	174000
ei välttämättä	ole	172000
ei ole	tehty	171000
kolme vuotta	sitten	171000
sen sijaan	on	171000
hänellä ei	ole	170000
ylen tietojen	mukaan	170000
hän on	saanut	169000
että suomessa	on	168000
niin paljon	kuin	168000
