# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection lit_news_2020_1M.tar.gz (lit_news_2020_1M/lit_news_2020_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
dėl to	kad	1642000
sveikatos apsaugos	ministerija	1443000
tai reiškia	kad	1316000
po to	kai	1308000
taip pat	ir	1288000
sveikatos apsaugos	ministras	1152000
per praėjusią	parą	1115000
taip pat	buvo	1082000
šiuo metu	yra	1072000
taip pat	yra	1033000
jis taip	pat	990000
daugiau nei	tūkst	949000
apie tai	kad	935000
visuomenės sveikatos	centro	913000
nacionalinio visuomenės	sveikatos	841000
prezidentas gitanas	nausėda	786000
daugiau kaip	tūkst	784000
ir tai	kad	764000
apsaugos ministras	aurelijus	738000
kad šiuo	metu	734000
ir t	t	696000
per pastarąją	parą	693000
gali būti	kad	655000
sveikatos apsaugos	ministerijos	646000
ir dėl	to	623000
ne tik	bet	616000
klaipėdos miesto	savivaldybės	615000
švietimo mokslo	ir	615000
mokslo ir	sporto	607000
d apie	val	605000
taip pat	bus	603000
visuomenės sveikatos	centras	600000
nacionalinis visuomenės	sveikatos	574000
nuo iki	eurų	573000
tik bet	ir	567000
pranešė sveikatos	apsaugos	564000
tai gali	būti	563000
taip pat	gali	551000
už tai	kad	533000
kad tai	yra	511000
tarp jų	ir	506000
atkreipti dėmesį	į	504000
užsienio reikalų	ministras	489000
kiek daugiau	nei	482000
kol kas	nėra	481000
gali būti	ir	479000
į tai	kad	469000
prezidentas donaldas	trumpas	468000
dėl šios	priežasties	463000
be kita	ko	445000
tuo pat	metu	437000
antrojo pasaulinio	karo	436000
apie tai	kaip	435000
vyriausiojo policijos	komisariato	433000
o taip	pat	432000
atkreipia dėmesį	kad	431000
atkreipė dėmesį	kad	428000
apskrities vyriausiojo	policijos	427000
valstiečių ir	žaliųjų	426000
į įvykio	vietą	423000
ne mažiau	kaip	417000
telšių rajono	savivaldybės	407000
lietuvos valstiečių	ir	404000
sveikatos apsaugos	ministro	403000
ji taip	pat	399000
tą pačią	dieną	398000
nuo to	laiko	382000
daugiau nei	mln	380000
taip pat	turi	379000
apsaugos ministerija	sam	374000
paskelbta prieš	min	374000
nuo iki	metų	371000
lygiai taip	pat	368000
savivaldybės administracijos	direktorius	367000
jav prezidentas	donaldas	362000
ir ne	tik	348000
val leidžiasi	val	347000
teka val	leidžiasi	346000
ne daugiau	kaip	345000
taip pat	teigė	345000
yra viena	iš	343000
ekonomikos ir	inovacijų	342000
jau kurį	laiką	341000
kad ir	kaip	340000
socialinės apsaugos	ir	339000
apsaugos ir	darbo	337000
tik tada	kai	337000
yra vienas	iš	337000
ne tik	dėl	335000
po kurio	laiko	333000
rajono savivaldybės	administracijos	333000
daugiau kaip	mln	331000
nepaisant to	kad	330000
meras vytautas	grubliauskas	326000
jau daugiau	nei	325000
kad kol	kas	324000
yra ne	tik	324000
kad būtų	galima	322000
kur kas	daugiau	322000
greitosios medicinos	pagalbos	321000
maisto ir	veterinarijos	317000
užsienio reikalų	ministerija	315000
ne vienerius	metus	314000
iš pirmo	žvilgsnio	312000
iki šių	metų	309000
nuo iki	val	308000
savivaldybės administracijos	direktoriaus	308000
metų laisvės	atėmimo	306000
pasaulio sveikatos	organizacija	304000
tuo metu	kai	304000
tuo pačiu	metu	304000
skaičius išaugo	iki	302000
vienas iš	jų	302000
taip pat	kaip	300000
įdomu tai	kad	298000
dėl kitų	priežasčių	297000
jis pridūrė	kad	296000
daugiau nei	proc	295000
ir tai	yra	295000
ir taip	pat	293000
visuomenės sveikatos	priežiūros	290000
skaičius padidėjo	iki	289000
ir šiuo	metu	288000
daugiau nei	metų	287000
nuo šių	metų	287000
vis dar	yra	287000
aš manau	kad	284000
jie taip	pat	283000
prieš keletą	metų	278000
pasaulio sveikatos	organizacijos	273000
iki laipsnių	šilumos	271000
prieš kelerius	metus	270000
labai svarbu	kad	269000
o po	to	269000
dirbti nuotoliniu	būdu	266000
naujienų agentūrai	sakė	265000
jis teigė	kad	263000
tai ne	tik	260000
širdies ir	kraujagyslių	259000
duomenys rodo	kad	258000
tai nereiškia	kad	258000
nauji infekcijos	atvejai	257000
pat teigė	kad	255000
lietuvos krikščionys	demokratai	254000
metus iš	eilės	254000
per tą	laiką	254000
tėvynės sąjunga	lietuvos	254000
o tai	reiškia	252000
yra tai	kad	251000
sąjunga lietuvos	krikščionys	250000
atkreipė dėmesį	į	247000
ir iki	šiol	247000
klaipėdos miesto	savivaldybė	246000
taip pat	labai	246000
lietuvoje iš	viso	245000
prezidento donaldo	trumpo	245000
kad kai	kurie	244000
daugiau nei	pusė	243000
ir tai	jog	243000
praėjusią parą	lietuvoje	242000
