# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection lav_news_2020_300K.tar.gz (lav_news_2020_300K/lav_news_2020_300K-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
kā	arī	8220000
par	to	4544000
vairāk	nekā	4122000
tas	ir	3815000
ar	to	3476000
kas	ir	3346000
līdz	ar	2919000
ne	tikai	2702000
līdz	šim	2606000
to	ka	2504000
ar	covid	2382000
bet	arī	2371000
ņemot	vērā	2315000
norādīja	ka	2284000
līdz ar	to	2104000
viens	no	2101000
tā	ir	2092000
ir	ļoti	2022000
ka	ir	1857000
ir	arī	1821000
kopā	ar	1762000
ziņots	ka	1708000
pēc	tam	1682000
saistībā	ar	1639000
ir	par	1521000
un	arī	1519000
jau	ziņots	1505000
norāda	ka	1497000
no	līdz	1493000
lai	gan	1489000
jau ziņots	ka	1475000
liecina	ka	1474000
un	to	1391000
saskaņā	ar	1381000
mums	ir	1346000
ka	tas	1313000
šī	gada	1305000
uzsvēra	ka	1298000
jau	ir	1296000
eiro	apmērā	1284000
ir	un	1266000
aizvadītajā	diennaktī	1247000
un	tas	1228000
un	ir	1208000
albert	einstein	1200000
isaac	newton	1200000
marie	curie	1200000
mona	lisa	1200000
varētu	būt	1200000
šā	gada	1197000
un	tā	1186000
lai	arī	1178000
charles	darwin	1100000
da	vinci	1100000
leonardo	da	1100000
pablo	picasso	1100000
van	gogh	1100000
vincent	van	1100000
william	shakespeare	1100000
un	ar	1095000
tā	kā	1087000
miljoni	eiro	1056000
var	būt	1055000
arī	par	1040000
šobrīd	ir	1033000
uzskata	ka	1028000
par to	ka	1021000
rīgas	domes	1016000
viena	no	1006000
ceļu	satiksmes	1002000
amadeus	mozart	1000000
big	ben	1000000
frida	kahlo	1000000
galileo	galilei	1000000
johann	sebastian	1000000
ludwig	van	1000000
machu	picchu	1000000
mahatma	gandhi	1000000
nelson	mandela	1000000
sebastian	bach	1000000
taj	mahal	1000000
van	beethoven	1000000
wolfgang	amadeus	1000000
mērķis	ir	994000
par	un	983000
un	kā	975000
uz	to	970000
vērā	ka	969000
salīdzinot	ar	952000
ar	savu	925000
kaut	ko	920000
miljonus	eiro	919000
portālu	delfi	919000
nozīmē	ka	918000
vēl	nav	910000
miljonu	eiro	909000
grand	canyon	900000
louvre	museum	900000
notre	dame	900000
ka	tā	888000
par	šo	884000
ar	jauno	883000
un	tās	880000
atzina	ka	875000
no	tiem	875000
sacīja	ka	871000
gadu	laikā	867000
skaidroja	ka	866000
attiecībā	uz	863000
par	savu	853000
no	tā	847000
to	kā	847000
ka	arī	844000
pēc	iespējas	835000
mēs	esam	826000
paziņoja	ka	816000
tas	nozīmē	812000
ir	tikai	807000
arī	ar	793000
tāpat	kā	780000
ar	šo	776000
no	gada	776000
ka	no	775000
jauno	koronavīrusu	767000
informāciju	par	766000
tas	ka	763000
profilakses	un	761000
līdz	gada	758000
slimību	profilakses	754000
profilakses un	kontroles	753000
informācija	par	752000
vēstīts	ka	749000
delfi	informēja	742000
sadarbībā	ar	742000
slimību profilakses	un	739000
vai	arī	736000
portālu delfi	informēja	734000
par	ko	733000
ir	viens	731000
ir	svarīgi	730000
tai	skaitā	725000
eiropas	savienības	721000
ka	ar	719000
gadījumu	skaits	715000
miljoniem	eiro	715000
domāju	ka	714000
ir	daudz	710000
ministru	kabineta	707000
ar jauno	koronavīrusu	704000
šis	ir	702000
latvijā	ir	700000
uzsver	ka	697000
portāls	delfi	696000
ar	un	692000
gan	arī	688000
skaidrs	ka	673000
no	kuriem	670000
arī	uz	666000
neskatoties	uz	665000
jau	iepriekš	662000
kopš	gada	661000
veselības	aprūpes	660000
tas	nav	658000
tie	ir	653000
šajā	laikā	642000
jau	vēstīts	641000
ka	viņš	638000
covid	pandēmijas	635000
tas nozīmē	ka	629000
inficēšanās	ar	628000
man	ir	627000
nav	iespējams	627000
jau vēstīts	ka	625000
ņemot vērā	ka	625000
līdz	pat	624000
joprojām	ir	619000
tā	ka	605000
līdz	gadiem	599000
uz	laiku	599000
lai	nodrošinātu	597000
nedēļas	nogalē	585000
salīdzinājumā	ar	585000
daļa	no	584000
ir viens	no	584000
ietekmi	uz	583000
tāpēc	ka	583000
valdes	priekšsēdētājs	583000
lielākā	daļa	582000
samazinājās	par	582000
arī	ir	579000
kas ir	par	578000
ka	šis	576000
būs	iespēja	573000
atzīst	ka	572000
valsts	policijas	572000
paredz	ka	571000
mazāk	nekā	569000
tas	bija	567000
pirmo	reizi	563000
gada	laikā	555000
bet	gan	552000
vairs	nav	552000
vienu	no	548000
līdz	eiro	547000
no	latvijas	546000
visā	pasaulē	546000
kontroles	centra	540000
katru	dienu	539000
kā	tas	539000
laikā	kad	539000
saistīti	ar	535000
laikā	ir	534000
no	valsts	534000
to	kas	531000
latvijā	un	529000
jāņem	vērā	528000
par to	kā	527000
pagājušā	gada	526000
vairāk	kā	525000
un kontroles	centra	522000
gan	gan	520000
pagājušajā	nedēļā	519000
pagājušajā	gadā	511000
situācijas	laikā	505000
tajā	pašā	503000
ar	ko	502000
saistīts	ar	500000
notikuma	vietā	497000
nekustamā	īpašuma	496000
atgādina	ka	495000
ja	ir	493000
piebilda	ka	493000
bet	tas	490000
tam	kad	485000
runājot	par	484000
tajā	skaitā	484000
inficēšanās	gadījumu	483000
tās	ir	479000
latvijas	valsts	478000
tad	kad	476000
pēc tam	kad	472000
kaut	kas	469000
kas	bija	463000
nākamā	gada	463000
tad	ja	463000
it	kā	462000
vēl	vairāk	462000
no līdz	gadiem	460000
plānots	ka	460000
valsts	un	459000
nav	bijis	456000
valsts	budžeta	456000
teikt	ka	455000
informēja	ka	452000
tā	arī	451000
ar	gada	450000
sociālajos	tīklos	449000
bieži	vien	448000
lēmumu	par	446000
kā	ziņots	443000
arī	latvijas	441000
tagad	ir	439000
viņš	ir	439000
par	miljoniem	437000
tas	būs	437000
katru	gadu	434000
bez	maksas	432000
rāda	ka	432000
neatkarīgi	no	431000
viņš	arī	428000
skaidro	ka	426000
vienmēr	ir	425000
sarunā	ar	423000
valsts	ieņēmumu	423000
vēl	ir	423000
arī	no	422000
par	valsts	422000
to	ko	422000
izglītības	un	420000
valsts	policija	420000
lai	varētu	419000
kas	nav	418000
pandēmijas	dēļ	418000
par	sevi	418000
pieauga	par	418000
teica	ka	416000
tik	daudz	416000
ziņoja	ka	416000
covid	izplatību	414000
mēs	varam	412000
jo	tas	410000
dienu	laikā	409000
viss	ir	408000
gadījumā	ja	404000
kā	to	404000
latvijas	un	404000
eiro	un	402000
no	pulksten	399000
saslimšanas	gadījumi	399000
kļūt	par	398000
tā	lai	397000
uz	šo	396000
arī	turpmāk	395000
pašā	laikā	395000
var	tikt	395000
krīzes	laikā	394000
līdzīgi	kā	393000
to	var	393000
ārkārtējā	situācija	393000
vai	ar	392000
kā	rezultātā	390000
