# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection lav_news_2020_300K.tar.gz (lav_news_2020_300K/lav_news_2020_300K-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
līdz ar	to	2104000
jau ziņots	ka	1475000
par to	ka	1021000
profilakses un	kontroles	753000
slimību profilakses	un	739000
portālu delfi	informēja	734000
ar jauno	koronavīrusu	704000
tas nozīmē	ka	629000
jau vēstīts	ka	625000
ņemot vērā	ka	625000
ir viens	no	584000
kas ir	par	578000
par to	kā	527000
un kontroles	centra	522000
pēc tam	kad	472000
no līdz	gadiem	460000
ka tas	ir	380000
miljonu eiro	apmērā	371000
par miljoniem	eiro	371000
saistībā ar	covid	367000
ir viena	no	362000
ar to	ka	358000
uz to	ka	358000
tajā pašā	laikā	357000
ugunsdzēsības un	glābšanas	346000
valsts ugunsdzēsības	un	345000
inficēšanās ar	jauno	342000
informācija liecina	ka	342000
par vairāk	nekā	338000
izglītības un	zinātnes	336000
portāls delfi	uzzināja	315000
neatliekamās medicīniskās	palīdzības	312000
un tas	ir	305000
inficēšanās gadījumu	skaits	301000
kontroles centra	spkc	288000
dati liecina	ka	281000
vecumā no	līdz	281000
ir vairāk	nekā	280000
ir skaidrs	ka	269000
jāņem vērā	ka	269000
ir ne	tikai	263000
no pulksten	līdz	255000
liecina slimību	profilakses	249000
neskatoties uz	to	248000
izraisītās slimības	covid	247000
par to	vai	244000
par mazāk	nekā	243000
ir par	mazāk	242000
viņš norādīja	ka	241000
uz laiku	līdz	236000
par to	kas	235000
izraisīto slimību	covid	232000
ka tā	ir	229000
laika posmā	no	227000
ne vairāk	kā	227000
kas saistīti	ar	226000
es domāju	ka	221000
jau vairāk	nekā	220000
ceļu satiksmes	negadījumi	218000
līdz gada	beigām	209000
ar brīvības	atņemšanu	206000
aizvadītajā diennaktī	inficēšanās	205000
diennaktī inficēšanās	ar	205000
veikti covid	testi	202000
eiro kas	ir	201000
nacionālā veselības	dienesta	201000
un pēc	tam	199000
vides aizsardzības	un	198000
covid pandēmijas	dēļ	197000
miljoniem eiro	jeb	197000
un līdz	ar	197000
no šī	gada	196000
rīcībā esošā	informācija	194000
jauni saslimšanas	gadījumi	192000
latvijā kopā	veikti	192000
un reģionālās	attīstības	192000
aizsardzības un	reģionālās	191000
pēc krimināllikuma	panta	190000
pēc iespējas	ātrāk	189000
pēdējo gadu	laikā	186000
valsts ieņēmumu	dienesta	186000
eiropas savienības	es	184000
medicīniskās palīdzības	dienesta	183000
arī norādīja	ka	182000
valsts un	pašvaldību	182000
ir par	vairāk	179000
ir tas	ka	179000
rīgas domes	ārkārtas	179000
salīdzinot ar	gada	178000
ar šo	vīrusu	172000
reģistrēti ceļu	satiksmes	172000
vairāk nekā	tūkstoši	172000
saslimšana ar	covid	171000
un kā	arī	171000
par vienu	no	170000
izsludināta ārkārtējā	situācija	169000
no marta	līdz	169000
ierodoties notikuma	vietā	168000
ir ļoti	svarīgi	168000
bet pēc	tam	163000
no līdz	eiro	163000
valsts sociālās	apdrošināšanas	163000
delfi tv	ar	161000
tv ar	jāni	161000
vairāk nekā	cilvēku	161000
vides ģeoloģijas	un	161000
ģeoloģijas un	meteoroloģijas	161000
gadījumu skaits	uz	160000
viņš uzsvēra	ka	160000
ir miljoni	eiro	159000
latvijas vides	ģeoloģijas	158000
brīvības atņemšanu	uz	156000
skaits uz	iedzīvotāju	156000
vairāk nekā	gadu	155000
jau ziņoja	ka	154000
valsts ieņēmumu	dienests	154000
kas nozīmē	ka	153000
kā arī	par	151000
esošā informācija	liecina	149000
grupā no	līdz	148000
covid gadījumu	skaits	147000
neatkarīgi no	tā	146000
bija miljoni	eiro	144000
reģistrēti jauni	saslimšanas	144000
diennaktī veiktas	analīzes	143000
jau vairākus	gadus	143000
salīdzinājumā ar	gada	143000
vecuma grupā	no	143000
līdz šī	gada	142000
ceļu satiksmes	jomā	141000
inficēšanās ar	covid	141000
par to	cik	141000
ar covid	izplatību	140000
ar to	arī	139000
jauni inficēšanās	gadījumi	138000
līdz šim	ir	136000
tikt galā	ar	136000
un par	to	135000
ir daļa	no	134000
kopā veikti	personas	134000
tas ir	ļoti	133000
un tā	ir	133000
ir tā	ka	132000
no otras	puses	132000
un ar	to	132000
veikti personas	un	132000
