# Generated curated bigrams for multilingual keyboard parity.
# Format: prev<TAB>next<TAB>count
доброе	утро	1500000
добрый	день	1400000
добрый	вечер	1200000
спокойной	ночи	1000000
большое	спасибо	1400000
спасибо	большое	1400000
как	дела	1700000
как	ты	1000000
как	вы	800000
что	делаешь	800000
я	не	2200000
не	знаю	1900000
не	могу	1300000
я	тебя	1300000
тебя	люблю	1000000
до	свидания	1100000
до	встречи	800000
до	завтра	800000
всё	хорошо	1100000
очень	хорошо	1100000
хорошего	дня	900000
давай	встретимся	700000
на	связи	700000
конечно	да	600000
без	проблем	800000
в	общем	900000
так	что	1400000
потому	что	1800000
что	то	1500000
кто	то	900000
альберт	эйнштейн	1200000
мона	лиза	1200000
исаак	ньютон	1100000
чарльз	дарвин	1000000
уильям	шекспир	1000000
леонардо	да	1100000
да	винчи	1100000
винсент	ван	1000000
ван	гог	1000000
вольфганг	моцарт	1000000
пабло	пикассо	1000000
нельсон	мандела	1000000
эйфелева	башня	1100000
красная	площадь	1100000
большой	театр	1000000
