# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection rus_news_2024_1M.tar.gz (rus_news_2024_1M/rus_news_2024_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
по его	словам	7197000
в том	числе	5915000
о том	что	4534000
в этом	году	3543000
вы читаете	новость	3454000
сейчас вы	читаете	3454000
со ссылкой	на	3322000
то же	время	3129000
в то	же	3104000
в пресс	службе	2856000
в связи	с	2806000
говорится в	сообщении	2643000
в настоящее	время	2544000
об этом	в	2471000
в том	что	2347000
после того	как	2159000
для того	чтобы	2068000
в свою	очередь	1992000
в прошлом	году	1990000
на то	что	1905000
по сравнению	с	1896000
он отметил	что	1887000
по ее	словам	1855000
до сих	пор	1714000
речь идет	о	1606000
на самом	деле	1499000
стало известно	что	1486000
на данный	момент	1456000
сообщили в	пресс	1452000
в ночь	на	1424000
он добавил	что	1280000
в первую	очередь	1255000
в курской	области	1248000
в этот	день	1233000
в соответствии	с	1226000
в ближайшее	время	1184000
по состоянию	на	1130000
об этом	сообщает	1127000
вооруженных сил	украины	1076000
специальной военной	операции	1067000
может привести	к	1038000
по его	мнению	1025000
в своем	канале	1022000
в то	время	1018000
тем не	менее	983000
кроме того	в	975000
он подчеркнул	что	948000
в году	в	905000
на сегодняшний	день	899000
в зависимости	от	883000
в одном	из	865000
ранее сообщалось	что	864000
о том	как	834000
несмотря на	то	823000
в беседе	с	786000
об этом	заявил	768000
от до	лет	747000
с начала	года	733000
об этом	сообщил	729000
министр иностранных	дел	725000
том числе	и	708000
то время	как	698000
уголовное дело	по	692000
по предварительным	данным	690000
в социальных	сетях	686000
об этом	сообщили	683000
с тем	что	680000
в следующем	году	674000
возбуждено уголовное	дело	668000
на поле	боя	665000
в общей	сложности	664000
сообщает пресс	служба	664000
отметил что	в	663000
а также	в	647000
вместе с	тем	647000
его словам	в	639000
президент украины	владимир	638000
в последнее	время	636000
до конца	года	636000
у нас	есть	633000
к тому	же	631000
с точки	зрения	630000
ранее стало	известно	628000
сообщает со	ссылкой	627000
украины владимир	зеленский	624000
связи с	этим	622000
на этой	неделе	620000
коллаж униан	фото	618000
при этом	в	609000
из за	того	603000
я думаю	что	603000
великой отечественной	войны	602000
так и	не	598000
также отметил	что	591000
за того	что	585000
по меньшей	мере	584000
к тому	что	583000
в ответ	на	581000
президент россии	владимир	580000
россии владимир	путин	579000
для тех	кто	573000
в этом	случае	572000
в это	время	555000
на прошлой	неделе	549000
и т	д	540000
этом сообщили	в	534000
том что	в	532000
в частности	в	529000
за то	что	525000
в отличие	от	523000
из за	чего	510000
как сообщили	в	499000
как сообщал	униан	497000
на й	минуте	493000
на этот	раз	491000
том числе	в	490000
заключается в	том	485000
в результате	атаки	484000
в декабре	года	483000
в харьковской	области	482000
дело в	том	479000
в период	с	478000
в возрасте	от	477000
это может	быть	475000
с января	года	474000
в санкт	петербурге	473000
из за	этого	473000
на следующий	день	473000
он заявил	что	473000
с тех	пор	472000
в результате	чего	469000
