# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection slv_news_2020_1M.tar.gz (slv_news_2020_1M/slv_news_2020_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
se	je	57344000
da	je	45518000
ki	je	35715000
je	v	35276000
pa	je	34470000
ki	so	30005000
da	se	28717000
je	bil	28440000
da	bi	23762000
je	bilo	22375000
so	se	20953000
da	so	19287000
je	bila	18735000
naj	bi	17689000
je	na	17440000
so	v	16283000
več	kot	15371000
pa	so	15189000
ki	se	14669000
da	bo	14448000
ko	je	14216000
je	da	13893000
se	bo	13394000
je	tudi	12896000
tudi	v	12838000
pa	se	12301000
ne	bo	12260000
ki	jih	11662000
jih	je	11032000
bi	se	10671000
v	sloveniji	10590000
je	še	10401000
kot	je	10194000
so	bili	10119000
to	je	10096000
je	po	10023000
ki	ga	9895000
in	se	9819000
še	vedno	9751000
je	za	9218000
gre	za	9185000
kar	je	9090000
ga	je	9006000
s	tem	8843000
prav	tako	8689000
v	tem	8560000
in	v	8483000
da	bodo	8233000
ne	bi	7901000
z	novim	7816000
glede	na	7801000
se	v	7679000
tudi	na	7664000
v	zadnjih	7577000
in	da	7461000
ki	jo	7414000
je	dejal	7348000
je	to	7136000
v	času	7127000
ko	so	7019000
je	že	6825000
in	je	6689000
ob	tem	6583000
kot	so	6563000
se	bodo	6540000
med	drugim	6521000
so	na	6490000
ko	se	6446000
pa	tudi	6302000
jo	je	6244000
bi	lahko	6227000
ki	bi	6204000
o	tem	6077000
saj	je	6058000
bo	v	5952000
ni	bilo	5952000
je	sicer	5843000
so	ga	5823000
je	treba	5797000
kjer	je	5703000
in	na	5696000
je	danes	5646000
tako	da	5509000
ki	bo	5329000
je	z	5312000
pri	tem	5277000
še	ni	5205000
so	jih	5115000
med	in	5084000
tudi	za	5003000
se	lahko	4987000
bi	bilo	4910000
da	ne	4846000
pa	bo	4798000
ker	je	4721000
je	povedal	4650000
za	to	4567000
so	tudi	4553000
tako	kot	4538000
že	v	4493000
ne	bodo	4492000
to	da	4489000
do	konca	4477000
so	bile	4465000
potem	ko	4447000
je	s	4437000
od	do	4429000
na	to	4380000
medtem	ko	4379000
se	na	4347000
in	tudi	4338000
se	ne	4330000
če	bi	4212000
si	je	4202000
kot	v	4153000
od	tega	4102000
v	zadnjem	4091000
in	ne	4078000
sta	se	4047000
je	tako	4020000
pomeni	da	4003000
v	ljubljani	4003000
mu	je	3998000
v	soboto	3997000
je	namreč	3970000
je	pa	3956000
v	petek	3925000
v	ponedeljek	3884000
za	zdravje	3847000
še	naprej	3839000
v	nedeljo	3828000
kjer	so	3756000
dejal	da	3747000
v	primeru	3704000
na	voljo	3682000
milijonov	evrov	3659000
je	pred	3656000
je	ob	3653000
mi	je	3625000
in	sicer	3605000
v	državi	3603000
je	med	3589000
v	sredo	3576000
so	sporočili	3553000
a	je	3543000
pri	nas	3509000
in	so	3506000
smo	se	3478000
sem	se	3476000
bodo	v	3464000
zato	je	3463000
po	besedah	3432000
za	vse	3415000
če	se	3412000
ali	pa	3396000
novih	okužb	3388000
v	katerem	3345000
za	zdaj	3345000
in	s	3335000
v	in	3335000
bi	bil	3327000
med	njimi	3327000
manj	kot	3317000
na	koncu	3306000
so	še	3294000
v	teh	3294000
v	tej	3290000
v	torek	3260000
da	smo	3248000
bi	bila	3245000
je	zaradi	3215000
so	jo	3214000
da	v	3207000
pa	v	3201000
saj	so	3173000
na	svetu	3171000
bo	na	3153000
v	okviru	3152000
da	si	3143000
v	zda	3143000
pa	bodo	3112000
pa	še	3078000
tem	je	3048000
je	imel	3035000
kljub	temu	3035000
na	podlagi	3018000
so	že	2996000
poleg	tega	2986000
nato	pa	2982000
v	kateri	2982000
in	za	2974000
ne	more	2967000
tisti	ki	2953000
in	še	2952000
ki	bodo	2949000
na	hrvaškem	2922000
okužb	z	2912000
in	to	2894000
so	po	2879000
pravi	da	2877000
se	z	2861000
da	lahko	2858000
v	letu	2853000
milijona	evrov	2826000
tem	da	2817000
na	primer	2816000
tudi	da	2808000
