# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection swe_news_2023_1M.tar.gz (swe_news_2023_1M/swe_news_2023_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
för	att	49948000
det	är	42638000
att	det	24395000
är	det	18889000
i	en	17756000
är	en	14917000
det	var	13989000
om	att	12980000
i	ett	12612000
på	en	11955000
efter	att	11669000
bland	annat	11368000
att	de	11104000
kommer	att	11065000
i	den	10913000
en	av	10911000
på	att	10907000
och	det	10758000
som	är	10592000
att	han	10518000
med	en	10399000
men	det	9474000
att	få	9136000
med	att	9033000
är	att	8950000
att	ha	8945000
till	att	8681000
i	sverige	8451000
och	en	8319000
har	en	8215000
av	de	8176000
det	finns	8069000
och	har	7854000
i	år	7669000
till	en	7320000
in	i	7315000
är	inte	7187000
av	en	7075000
som	en	7056000
och	i	7037000
det	har	7029000
att	man	6981000
som	har	6953000
en	ny	6905000
för	en	6886000
och	att	6760000
på	i	6747000
det	här	6653000
vi	har	6566000
har	varit	6554000
är	ett	6525000
att	ta	6483000
på	ett	6407000
om	det	6316000
den	här	6299000
det	inte	6161000
att	vi	6069000
i	dag	5903000
en	man	5863000
i	det	5811000
det	som	5770000
var	det	5757000
nu	är	5749000
att	den	5638000
och	med	5596000
del	av	5482000
efter	en	5440000
jag	har	5108000
när	det	5097000
om	en	5073000
att	göra	5061000
med	i	5049000
att	vara	5047000
på	den	5037000
tillsammans	med	5009000
på	grund	4961000
har	fått	4959000
en	del	4950000
att	hon	4932000
på	plats	4926000
grund	av	4856000
nu	har	4837000
år	sedan	4735000
de	som	4702000
av	den	4675000
säger	han	4642000
vad	som	4639000
med	ett	4613000
är	i	4601000
som	inte	4586000
att	en	4570000
i	årsåldern	4474000
för	den	4440000
och	är	4313000
ska	ha	4292000
samband	med	4290000
de	senaste	4262000
i	samband	4250000
att	bli	4241000
har	det	4219000
i	sin	4211000
miljoner	kronor	4181000
i	och	4176000
det	blir	4156000
sig	i	4147000
har	inte	4097000
förra	året	4045000
att	jag	4031000
inte	att	3993000
och	de	3950000
det	kan	3942000
som	i	3933000
för	det	3910000
och	den	3902000
en	stor	3892000
den	som	3880000
i	stockholm	3873000
för	ett	3869000
just	nu	3860000
när	han	3852000
jag	är	3838000
är	på	3831000
blev	kronor	3812000
mer	än	3812000
på	kvadratmeter	3807000
är	den	3791000
säger	att	3789000
av	att	3787000
i	stället	3775000
genom	att	3730000
en	i	3717000
man	i	3671000
till	och	3663000
på	det	3655000
var	en	3615000
fastigheten	på	3594000
till	den	3583000
han	har	3579000
och	som	3570000
här	är	3498000
ett	av	3473000
med	och	3417000
som	ska	3406000
något	som	3400000
och	på	3386000
den	nya	3357000
till	ett	3352000
fram	till	3309000
på	väg	3303000
sig	till	3296000
att	se	3294000
boyta	på	3287000
det	blev	3282000
i	i	3249000
att	inte	3245000
trots	att	3243000
även	om	3233000
så	att	3150000
för	de	3148000
en	boyta	3147000
svårt	att	3121000
den	svenska	3115000
en	annan	3096000
procent	av	3093000
som	kan	3093000
inte	är	3089000
han	är	3088000
de	har	3067000
på	sin	3058000
handlar	om	3057000
och	ett	3057000
år	och	3024000
med	den	3008000
slutet	av	2997000
som	ett	2994000
att	gå	2967000
på	adressen	2960000
av	dem	2957000
av	det	2947000
den	första	2947000
ett	år	2930000
första	gången	2927000
jämfört	med	2921000
inte	bara	2914000
det	att	2895000
ett	nytt	2895000
har	blivit	2867000
det	kommer	2866000
vi	är	2863000
när	de	2854000
upp	till	2834000
att	kunna	2818000
upp	i	2815000
med	sin	2795000
det	ska	2772000
i	slutet	2757000
i	de	2748000
blir	det	2737000
om	man	2719000
kan	vara	2716000
under	en	2711000
ut	i	2700000
samtidigt	som	2697000
om	de	2695000
i	början	2674000
var	i	2674000
det	gäller	2672000
är	nu	2672000
har	tagit	2669000
har	gjort	2660000
det	i	2659000
på	och	2659000
delar	av	2651000
finns	det	2644000
blev	det	2631000
in	på	2622000
huset	är	2621000
säger	hon	2619000
av	ett	2617000
om	hur	2616000
är	och	2610000
och	för	2605000
till	exempel	2605000
ett	pressmeddelande	2604000
början	av	2600000
ska	vara	2596000
nya	ägare	2573000
de	två	2571000
ett	par	2552000
med	procent	2552000
ut	på	2532000
men	i	2528000
men	jag	2510000
i	fjol	2509000
med	det	2501000
en	kvinna	2495000
som	var	2493000
en	person	2492000
och	jag	2477000
plats	i	2476000
sig	på	2460000
till	det	2449000
och	nu	2447000
innebär	att	2444000
om	den	2427000
i	landet	2420000
är	så	2412000
år	har	2406000
mellan	och	2396000
ett	stort	2388000
man	inte	2384000
så	mycket	2376000
har	vi	2368000
